ticker,name,sector,industry,indices
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,sp500
AA,Alcoa,Materials,Aluminum,sp400
AAL,American Airlines Group,Industrials,Passenger Airlines,sp400
AAMI,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks,sp600
AAON,AAON,Industrials,Building Products,sp400
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,sp600
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",sp500
AAT,American Assets Trust,Real Estate,Diversified REITs,sp600
ABBV,AbbVie,Health Care,Biotechnology,sp500
ABCB,Ameris Bancorp,Financials,Regional Banks,sp600
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,sp600
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,sp600
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",sp500
ABR,Arbor Realty Trust,Financials,Mortgage REITs,sp600
ABT,Abbott Laboratories,Health Care,Health Care Equipment,sp500
ACA,"Arcosa, Inc.",Industrials,Construction & Engineering,sp600
ACAD,Acadia Pharmaceuticals,Health Care,Pharmaceuticals,sp600
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,sp500
ACHC,Acadia Healthcare,Health Care,Health Care Facilities,sp600
ACI,Albertsons,Consumer Staples,Food Retail,sp400
ACIW,ACI Worldwide,Information Technology,Application Software,sp600
ACLS,"Axcelis Technologies, Inc.",Information Technology,Semiconductor Materials & Equipment,sp600
ACM,AECOM,Industrials,Construction & Engineering,sp400
ACMR,"ACM Research, Inc.",Information Technology,Semiconductor Materials & Equipment,sp600
ACN,Accenture,Information Technology,IT Consulting & Other Services,sp500
ACT,"Enact Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,sp600
ADAM,"Adamas Trust, Inc.",Real Estate,Mortgage REITs,sp600
ADBE,Adobe Inc.,Information Technology,Application Software,sp500
ADC,Agree Realty,Real Estate,Retail REITs,sp400
ADEA,"Adeia, Inc.",Information Technology,IT Consulting & Other Services,sp600
ADI,Analog Devices,Information Technology,Semiconductors,sp500
ADIG,ADI Global Distribution,Information Technology,Electronic Equipment & Instruments,sp600
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,sp500
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,sp600
ADNT,Adient,Consumer Discretionary,Automotive Parts & Equipment,sp600
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,sp500
ADSK,Autodesk,Information Technology,Application Software,sp500
ADT,ADT Inc.,Consumer Discretionary,Specialized Consumer Services,sp600
ADUS,Addus HomeCare Corp.,Health Care,Health Care Services,sp600
AEE,Ameren,Utilities,Multi-Utilities,sp500
AEIS,Advanced Energy,Information Technology,Semiconductor Materials & Equipment,sp400
AEO,American Eagle Outfitters,Consumer Discretionary,Apparel Retail,sp600
AEP,American Electric Power,Utilities,Electric Utilities,sp500
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,sp500
AESI,"Atlas Energy Solutions, Inc.",Energy,Oil & Gas Equipment & Services,sp600
AFG,American Financial Group,Financials,Multi-line Insurance,sp400
AFL,Aflac,Financials,Life & Health Insurance,sp500
AGCO,AGCO,Industrials,Agricultural & Farm Machinery,sp400
AGNT,"eXp World Holdings, Inc.",Real Estate,Real Estate Services,sp600
AGO,Assured Guaranty Ltd.,Financials,Property & Casualty Insurance,sp600
AGX,"Argan, Inc.",Industrials,Construction & Engineering,sp600
AGYS,"Agilysys, Inc.",Information Technology,Application Software,sp600
AHCO,AdaptHealth Corp.,Health Care,Health Care Equipment,sp600
AHR,American Healthcare REIT,Real Estate,Health Care REITs,sp400
AIG,American International Group,Financials,Multi-line Insurance,sp500
AIN,Albany International Corp.,Industrials,Industrial Machinery & Supplies & Components,sp600
AIR,AAR Corp.,Industrials,Aerospace & Defense,sp600
AIT,Applied Industrial Technologies,Industrials,Trading Companies & Distributors,sp400
AIZ,Assurant,Financials,Multi-line Insurance,sp500
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,sp500
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,sp500
AKR,Acadia Realty Trust,Real Estate,Retail REITs,sp600
ALB,Albemarle Corporation,Materials,Specialty Chemicals,sp500
ALG,Alamo Group,Industrials,Construction Machinery & Heavy Transportation Equipment,sp600
ALGM,Allegro MicroSystems,Information Technology,Semiconductors,sp400
ALGN,Align Technology,Health Care,Health Care Supplies,sp500
ALGT,Allegiant Travel Company,Industrials,Passenger Airlines,sp600
ALHC,"Alignment Healthcare, Inc.",Health Care,Health Care Services,sp600
ALK,Alaska Air Group,Industrials,Passenger Airlines,sp400
ALKS,Alkermes plc,Health Care,Pharmaceuticals,sp600
ALL,Allstate,Financials,Property & Casualty Insurance,sp500
ALLE,Allegion,Industrials,Building Products,sp500
ALLY,Ally Financial,Financials,Consumer Finance,sp400
ALRM,"Alarm.Com, Inc.",Financials,Application Software,sp600
ALSN,Allison Transmission,Industrials,Construction Machinery & Heavy Transportation Equipment,sp400
ALV,Autoliv,Consumer Discretionary,Automotive Parts & Equipment,sp400
AM,Antero Midstream,Energy,Oil & Gas Storage & Transportation,sp400
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,sp500
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,sp500
AMD,Advanced Micro Devices,Information Technology,Semiconductors,sp500
AME,Ametek,Industrials,Electrical Components & Equipment,sp500
AMG,Affiliated Managers Group,Financials,Asset Management & Custody Banks,sp400
AMGN,Amgen,Health Care,Biotechnology,sp500
AMH,American Homes 4 Rent,Real Estate,Single-Family Residential REITs,sp400
AMKR,Amkor Technology,Information Technology,Semiconductors,sp400
AMN,"Amn Healthcare Services, Inc.",Health Care,Health Care Services,sp600
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,sp500
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,sp600
AMR,"Alpha Metallurgical Resources, Inc.",Materials,Steel,sp600
AMRX,Amneal Pharmaceuticals,Health Care,Pharmaceuticals,sp600
AMSF,"Amerisafe, Inc.",Financials,Property & Casualty Insurance,sp600
AMT,American Tower,Real Estate,Telecom Tower REITs,sp500
AMTM,Amentum,Industrials,Diversified Support Services,sp600
AMZN,Amazon,Consumer Discretionary,Broadline Retail,sp500
AN,AutoNation,Consumer Discretionary,Automotive Retail,sp400
ANDE,"The Andersons, Inc.",Consumer Staples,Food Distributors,sp600
ANET,Arista Networks,Information Technology,Communications Equipment,sp500
ANF,Abercrombie & Fitch,Consumer Discretionary,Apparel Retail,sp400
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,sp600
AON,Aon plc,Financials,Insurance Brokers,sp500
AORT,Artivion,Health Care,Health Care Equipment,sp600
AOS,A. O. Smith,Industrials,Building Products,sp500
